data;horario;uf;br;trecho;km;sentido;veiculo;fim_percurso;;;;;
05/07/2020;08:01:33;BA;418;418BA000000;0;C;IZV-6C04;percurso;0;0;;;19673,74649
05/07/2020;08:01:33;BA;418;418BA000000;4000;C;IZV-6C04;percurso;4000;4000;;;
05/07/2020;08:16:33;BA;418;418BA008454;9000;C;IZV-6C04;percurso;5000;5000;;;
05/07/2020;08:16:33;BA;418;418BA008454;14000;C;IZV-6C04;percurso;5000;5000;;;
05/07/2020;09:05:30;BA;418;418BA022013;24000;C;IZV-6C04;percurso;10000;10000;;;
05/07/2020;09:05:30;BA;418;418BA022013;29000;C;IZV-6C04;percurso;5000;5000;;;
05/07/2020;09:05:30;BA;418;418BA022013;34000;C;IZV-6C04;percurso;5000;5000;;;
05/07/2020;09:05:30;BA;418;418BA022013;39000;C;IZV-6C04;percurso;5000;5000;;;
05/07/2020;09:05:30;BA;418;418BA022013;44000;C;IZV-6C04;percurso;5000;5000;;;
05/07/2020;09:05:30;BA;418;418BA022013;49000;C;IZV-6C04;percurso;5000;5000;;;
05/07/2020;09:05:30;BA;418;418BA022013;54000;C;IZV-6C04;percurso;5000;5000;;;
05/07/2020;09:05:30;BA;418;418BA022013;59000;C;IZV-6C04;percurso;5000;5000;;;
05/07/2020;09:05:30;BA;418;418BA022013;64000;C;IZV-6C04;percurso;5000;5000;;;
05/07/2020;09:15:23;BA;418;418BA065441;69000;C;IZV-6C04;percurso;5000;5000;;;
05/07/2020;09:15:23;BA;418;418BA065441;74000;C;IZV-6C04;percurso;5000;5000;;;
05/07/2020;09:26:40;BA;418;418BA074581;79000;C;IZV-6C04;percurso;5000;5000;;;
05/07/2020;09:32:48;BA;418;418BA084458;89000;C;IZV-6C04;percurso;10000;10000;;;
05/07/2020;09:53:08;BA;418;418BA089375;94000;C;IZV-6C04;percurso;5000;5000;;;
05/07/2020;09:53:08;BA;418;418BA089375;99000;C;IZV-6C04;percurso;5000;5000;;;
05/07/2020;09:53:08;BA;418;418BA089375;104000;C;IZV-6C04;percurso;5000;5000;;;
05/07/2020;10:11:49;BA;418;418BA107247;109000;C;IZV-6C04;percurso;5000;5000;;;
05/07/2020;10:11:49;BA;418;418BA107247;114000;C;IZV-6C04;percurso;5000;5000;;;
05/07/2020;10:11:49;BA;418;418BA107247;119000;C;IZV-6C04;fim_dia;5000;5000;;;
06/07/2020;06:25:48;BA;498;498BA000000;0;C;IZV-6C04;percurso;0;0;;;
06/07/2020;06:25:48;BA;498;498BA000000;3000;C;IZV-6C04;percurso;3000;3000;;;
06/07/2020;06:25:48;BA;498;498BA000000;8000;C;IZV-6C04;percurso;5000;5000;;;
06/07/2020;06:25:48;BA;498;498BA000000;13000;C;IZV-6C04;fim_km_0;5000;5000;;;
06/07/2020;10:00:58;BA;367;367BA000000;0;C;IZV-6C04;percurso;0;0;;;
06/07/2020;10:00:58;BA;367;367BA000000;4000;C;IZV-6C04;percurso;4000;4000;;;
06/07/2020;10:00:58;BA;367;367BA000000;5000;C;IZV-6C04;percurso;1000;1000;;;
06/07/2020;10:00:58;BA;367;367BA000000;13000;C;IZV-6C04;percurso;8000;8000;;;
06/07/2020;10:00:58;BA;367;367BA000000;14000;C;IZV-6C04;percurso;1000;1000;;;
06/07/2020;10:00:58;BA;367;367BA000000;18000;C;IZV-6C04;percurso;4000;4000;;;
06/07/2020;10:00:58;BA;367;367BA000000;19000;C;IZV-6C04;percurso;1000;1000;;;
06/07/2020;10:36:36;BA;367;367BA021602;24000;C;IZV-6C04;percurso;5000;5000;;;
06/07/2020;10:36:36;BA;367;367BA021602;29000;C;IZV-6C04;fim_distancia;5000;5000;;;
06/07/2020;10:36:36;BA;367;367BA021602;49000;C;IZV-6C04;percurso;0;20000;;;
06/07/2020;11:20:29;BA;367;367BA050161;54000;C;IZV-6C04;percurso;5000;5000;;;
06/07/2020;11:20:29;BA;367;367BA050161;59000;C;IZV-6C04;percurso;5000;5000;;;
06/07/2020;11:20:29;BA;367;367BA050161;64000;C;IZV-6C04;percurso;5000;5000;;;
06/07/2020;11:20:29;BA;367;367BA050161;69000;C;IZV-6C04;percurso;5000;5000;;;
06/07/2020;11:20:29;BA;367;367BA050161;74000;C;IZV-6C04;percurso;5000;5000;;;
06/07/2020;11:20:29;BA;367;367BA050161;79000;C;IZV-6C04;fim_dia;5000;5000;;;
07/07/2020;06:19:30;BA;367;367BA122000;122000;C;IZV-6C04;percurso;0;0;;;
07/07/2020;06:19:30;BA;367;367BA122000;133000;C;IZV-6C04;percurso;11000;11000;;;
07/07/2020;06:19:30;BA;367;367BA122000;143000;C;IZV-6C04;percurso;10000;10000;;;
07/07/2020;06:19:30;BA;367;367BA122000;145000;C;IZV-6C04;percurso;2000;2000;;;
07/07/2020;06:19:30;BA;367;367BA122000;147000;C;IZV-6C04;percurso;2000;2000;;;
07/07/2020;06:19:30;BA;367;367BA122000;149000;C;IZV-6C04;percurso;2000;2000;;;
07/07/2020;06:19:30;BA;367;367BA122000;151000;C;IZV-6C04;percurso;2000;2000;;;
07/07/2020;06:19:30;BA;367;367BA122000;155000;C;IZV-6C04;percurso;4000;4000;;;
07/07/2020;06:19:30;BA;367;367BA122000;159000;C;IZV-6C04;fim_km_menor;4000;4000;;;
07/07/2020;10:11:24;BA;415;415BA017000;17000;C;IZV-6C04;percurso;0;0;;;
07/07/2020;10:11:24;BA;415;415BA017000;21000;C;IZV-6C04;fim_distancia;4000;4000;;;
07/07/2020;10:36:33;BA;415;415BA047300;51000;C;IZV-6C04;percurso;0;30000;;;
07/07/2020;10:49:16;BA;415;415BA052098;55000;C;IZV-6C04;percurso;4000;4000;;;
07/07/2020;10:49:16;BA;415;415BA052098;57000;C;IZV-6C04;percurso;2000;2000;;;
07/07/2020;10:49:16;BA;415;415BA052098;59000;C;IZV-6C04;percurso;2000;2000;;;
07/07/2020;10:49:16;BA;415;415BA052098;61000;C;IZV-6C04;fim_dia;2000;2000;;;
08/07/2020;06:36:23;BA;330;330BA000044;2000;C;IZV-6C04;fim_dia;0;0;;;
09/07/2020;06:31:46;BA;330;330BA786900;787000;C;IZV-6C04;percurso;0;0;;;
09/07/2020;06:31:46;BA;330;330BA786900;789000;C;IZV-6C04;percurso;2000;2000;;;
09/07/2020;06:31:46;BA;330;330BA786900;793000;C;IZV-6C04;percurso;4000;4000;;;
09/07/2020;06:31:46;BA;330;330BA786900;795000;C;IZV-6C04;percurso;2000;2000;;;
09/07/2020;06:31:46;BA;330;330BA786900;797000;C;IZV-6C04;percurso;2000;2000;;;
09/07/2020;06:31:46;BA;330;330BA786900;799000;C;IZV-6C04;percurso;2000;2000;;;
09/07/2020;06:31:46;BA;330;330BA786900;801000;C;IZV-6C04;percurso;2000;2000;;;
09/07/2020;06:31:46;BA;330;330BA786900;803000;C;IZV-6C04;percurso;2000;2000;;;
09/07/2020;06:31:46;BA;330;330BA786900;805000;C;IZV-6C04;percurso;2000;2000;;;
09/07/2020;07:15:17;BA;330;330BA805396;807000;C;IZV-6C04;percurso;2000;2000;;;
09/07/2020;07:15:17;BA;330;330BA805396;809000;C;IZV-6C04;percurso;2000;2000;;;
09/07/2020;07:15:17;BA;330;330BA805396;811000;C;IZV-6C04;percurso;2000;2000;;;
09/07/2020;07:15:17;BA;330;330BA805396;813000;C;IZV-6C04;percurso;2000;2000;;;
09/07/2020;07:15:17;BA;330;330BA805396;815000;C;IZV-6C04;percurso;2000;2000;;;
09/07/2020;07:15:17;BA;330;330BA805396;817000;C;IZV-6C04;percurso;2000;2000;;;
09/07/2020;07:15:17;BA;330;330BA805396;821000;C;IZV-6C04;percurso;4000;4000;;;
09/07/2020;07:15:17;BA;330;330BA805396;823000;C;IZV-6C04;percurso;2000;2000;;;
09/07/2020;07:15:17;BA;330;330BA805396;825000;C;IZV-6C04;percurso;2000;2000;;;
09/07/2020;07:15:17;BA;330;330BA805396;827000;C;IZV-6C04;percurso;2000;2000;;;
09/07/2020;07:15:17;BA;330;330BA805396;829000;C;IZV-6C04;percurso;2000;2000;;;
09/07/2020;07:15:17;BA;330;330BA805396;831000;C;IZV-6C04;percurso;2000;2000;;;
09/07/2020;07:35:33;BA;330;330BA836268;837000;C;IZV-6C04;percurso;6000;6000;;;
09/07/2020;07:35:33;BA;330;330BA836268;839000;C;IZV-6C04;percurso;2000;2000;;;
09/07/2020;07:35:33;BA;330;330BA836268;845000;C;IZV-6C04;percurso;6000;6000;;;
09/07/2020;07:35:33;BA;330;330BA836268;849000;C;IZV-6C04;percurso;4000;4000;;;
09/07/2020;07:35:33;BA;330;330BA836268;851000;C;IZV-6C04;percurso;2000;2000;;;
09/07/2020;07:43:20;BA;330;330BA852700;853000;C;IZV-6C04;percurso;2000;2000;;;
09/07/2020;11:36:37;BA;330;330BA859186;863000;C;IZV-6C04;percurso;10000;10000;;;
09/07/2020;11:36:37;BA;330;330BA859186;865000;C;IZV-6C04;percurso;2000;2000;;;
09/07/2020;11:36:37;BA;330;330BA859186;871000;C;IZV-6C04;percurso;6000;6000;;;
09/07/2020;11:55:01;BA;330;330BA872434;873000;C;IZV-6C04;percurso;2000;2000;;;
09/07/2020;11:55:01;BA;330;330BA872434;877000;C;IZV-6C04;percurso;4000;4000;;;
09/07/2020;11:55:01;BA;330;330BA872434;879000;C;IZV-6C04;percurso;2000;2000;;;
09/07/2020;11:55:01;BA;330;330BA872434;883000;C;IZV-6C04;percurso;4000;4000;;;
09/07/2020;11:55:01;BA;330;330BA872434;885000;C;IZV-6C04;percurso;2000;2000;;;
09/07/2020;11:55:01;BA;330;330BA872434;887000;C;IZV-6C04;fim_dia;2000;2000;;;
10/07/2020;05:56:46;BA;420;420BA226400;230000;C;IZV-6C04;percurso;0;0;;;
10/07/2020;05:56:46;BA;420;420BA226400;231000;C;IZV-6C04;percurso;1000;1000;;;
10/07/2020;06:22:11;BA;420;420BA237245;248000;C;IZV-6C04;percurso;17000;17000;;;
10/07/2020;06:22:11;BA;420;420BA237245;249000;C;IZV-6C04;percurso;1000;1000;;;
10/07/2020;06:39:08;BA;420;420BA253211;255000;C;IZV-6C04;percurso;6000;6000;;;
10/07/2020;06:39:08;BA;420;420BA253211;258000;C;IZV-6C04;percurso;3000;3000;;;
10/07/2020;06:39:08;BA;420;420BA253211;259000;C;IZV-6C04;percurso;1000;1000;;;
10/07/2020;06:55:34;BA;420;420BA264000;266000;C;IZV-6C04;percurso;7000;7000;;;
10/07/2020;06:55:34;BA;420;420BA264000;267000;C;IZV-6C04;percurso;1000;1000;;;
10/07/2020;06:55:34;BA;420;420BA264000;268000;C;IZV-6C04;percurso;1000;1000;;;
10/07/2020;06:55:34;BA;420;420BA264000;276000;C;IZV-6C04;percurso;8000;8000;;;
10/07/2020;07:15:32;BA;420;420BA276334;277000;C;IZV-6C04;percurso;1000;1000;;;
10/07/2020;07:15:32;BA;420;420BA276334;286000;C;IZV-6C04;percurso;9000;9000;;;
10/07/2020;07:15:32;BA;420;420BA276334;287000;C;IZV-6C04;percurso;1000;1000;;;
10/07/2020;07:15:32;BA;420;420BA276334;288000;C;IZV-6C04;percurso;1000;1000;;;
10/07/2020;07:38:22;BA;420;420BA291781;296000;C;IZV-6C04;percurso;8000;8000;;;
10/07/2020;07:38:22;BA;420;420BA291781;297000;C;IZV-6C04;percurso;1000;1000;;;
10/07/2020;08:10:10;BA;420;420BA301365;304000;C;IZV-6C04;percurso;7000;7000;;;
10/07/2020;08:10:10;BA;420;420BA301365;305000;C;IZV-6C04;percurso;1000;1000;;;
10/07/2020;08:10:10;BA;420;420BA301365;312000;C;IZV-6C04;percurso;7000;7000;;;
10/07/2020;08:10:10;BA;420;420BA301365;314000;C;IZV-6C04;percurso;2000;2000;;;
10/07/2020;08:10:10;BA;420;420BA301365;323000;C;IZV-6C04;percurso;9000;9000;;;
10/07/2020;08:10:10;BA;420;420BA301365;324000;C;IZV-6C04;percurso;1000;1000;;;
10/07/2020;08:22:34;BA;420;420BA326648;333000;C;IZV-6C04;percurso;9000;9000;;;
10/07/2020;08:35:45;BA;420;420BA335832;342000;C;IZV-6C04;percurso;9000;9000;;;
10/07/2020;08:35:45;BA;420;420BA335832;343000;C;IZV-6C04;fim_dia;1000;1000;;;
11/07/2020;06:51:06;BA;242;242BA139600;142000;C;IZV-6C04;percurso;0;0;;;
11/07/2020;06:51:06;BA;242;242BA139600;143000;C;IZV-6C04;percurso;1000;1000;;;
11/07/2020;06:51:06;BA;242;242BA139600;144000;C;IZV-6C04;percurso;1000;1000;;;
11/07/2020;06:51:06;BA;242;242BA139600;152000;C;IZV-6C04;percurso;8000;8000;;;
11/07/2020;06:51:06;BA;242;242BA139600;153000;C;IZV-6C04;percurso;1000;1000;;;
11/07/2020;06:51:06;BA;242;242BA139600;162000;C;IZV-6C04;percurso;9000;9000;;;
11/07/2020;06:51:06;BA;242;242BA139600;171000;C;IZV-6C04;percurso;9000;9000;;;
11/07/2020;06:51:06;BA;242;242BA139600;181000;C;IZV-6C04;percurso;10000;10000;;;
11/07/2020;06:51:06;BA;242;242BA139600;188000;C;IZV-6C04;percurso;7000;7000;;;
11/07/2020;06:51:06;BA;242;242BA139600;189000;C;IZV-6C04;percurso;1000;1000;;;
11/07/2020;06:51:06;BA;242;242BA139600;190000;C;IZV-6C04;percurso;1000;1000;;;
11/07/2020;06:51:06;BA;242;242BA139600;199000;C;IZV-6C04;percurso;9000;9000;;;
11/07/2020;06:51:06;BA;242;242BA139600;200000;C;IZV-6C04;percurso;1000;1000;;;
11/07/2020;06:51:06;BA;242;242BA139600;208000;C;IZV-6C04;percurso;8000;8000;;;
11/07/2020;06:51:06;BA;242;242BA139600;209000;C;IZV-6C04;percurso;1000;1000;;;
11/07/2020;06:51:06;BA;242;242BA139600;216000;C;IZV-6C04;percurso;7000;7000;;;
11/07/2020;06:51:06;BA;242;242BA139600;217000;C;IZV-6C04;percurso;1000;1000;;;
11/07/2020;06:51:06;BA;242;242BA139600;218000;C;IZV-6C04;percurso;1000;1000;;;
11/07/2020;06:51:06;BA;242;242BA139600;219000;C;IZV-6C04;percurso;1000;1000;;;
11/07/2020;06:51:06;BA;242;242BA139600;226000;C;IZV-6C04;percurso;7000;7000;;;
11/07/2020;07:21:20;BA;242;242BA226639;228000;C;IZV-6C04;percurso;2000;2000;;;
11/07/2020;07:21:20;BA;242;242BA226639;236000;C;IZV-6C04;percurso;8000;8000;;;
11/07/2020;07:21:20;BA;242;242BA226639;237000;C;IZV-6C04;percurso;1000;1000;;;
11/07/2020;07:21:20;BA;242;242BA226639;246000;C;IZV-6C04;percurso;9000;9000;;;
11/07/2020;07:21:20;BA;242;242BA226639;247000;C;IZV-6C04;fim_dia;1000;1000;;;
12/07/2020;05:28:03;BA;122;122BA445000;445000;C;IZV-6C04;percurso;0;0;;;
12/07/2020;05:28:03;BA;122;122BA445000;446000;C;IZV-6C04;percurso;1000;1000;;;
12/07/2020;05:28:03;BA;122;122BA445000;447000;C;IZV-6C04;percurso;1000;1000;;;
12/07/2020;05:28:03;BA;122;122BA445000;455000;C;IZV-6C04;percurso;8000;8000;;;
12/07/2020;05:28:03;BA;122;122BA445000;464000;C;IZV-6C04;percurso;9000;9000;;;
12/07/2020;05:55:06;BA;122;122BA465129;474000;C;IZV-6C04;percurso;10000;10000;;;
12/07/2020;05:55:06;BA;122;122BA465129;475000;C;IZV-6C04;percurso;1000;1000;;;
12/07/2020;06:20:49;BA;122;122BA483485;484000;C;IZV-6C04;percurso;9000;9000;;;
12/07/2020;06:20:49;BA;122;122BA483485;492000;C;IZV-6C04;percurso;8000;8000;;;
12/07/2020;06:20:49;BA;122;122BA483485;493000;C;IZV-6C04;percurso;1000;1000;;;
12/07/2020;06:20:49;BA;122;122BA483485;494000;C;IZV-6C04;percurso;1000;1000;;;
12/07/2020;06:20:49;BA;122;122BA483485;502000;C;IZV-6C04;percurso;8000;8000;;;
12/07/2020;06:35:25;BA;122;122BA505748;512000;C;IZV-6C04;fim_dia;10000;10000;;;
13/07/2020;07:30:55;BA;242;242BA621273;627000;C;IZV-6C04;percurso;0;0;;;
13/07/2020;07:30:55;BA;242;242BA621273;636000;C;IZV-6C04;percurso;9000;9000;;;
13/07/2020;07:30:55;BA;242;242BA621273;637000;C;IZV-6C04;percurso;1000;1000;;;
13/07/2020;07:55:14;BA;242;242BA643726;645000;C;IZV-6C04;percurso;8000;8000;;;
13/07/2020;07:55:14;BA;242;242BA643726;646000;C;IZV-6C04;percurso;1000;1000;;;
13/07/2020;07:55:14;BA;242;242BA643726;655000;C;IZV-6C04;percurso;9000;9000;;;
13/07/2020;08:55:25;BA;242;242BA664099;665000;C;IZV-6C04;percurso;10000;10000;;;
13/07/2020;08:55:25;BA;242;242BA664099;674000;C;IZV-6C04;percurso;9000;9000;;;
13/07/2020;08:55:25;BA;242;242BA664099;683000;C;IZV-6C04;percurso;9000;9000;;;
13/07/2020;08:55:25;BA;242;242BA664099;684000;C;IZV-6C04;percurso;1000;1000;;;
