ciclo,lote,uf,veiculo,data,distancia_percorrida
ciclo 1,1,AC,QXH-5198,2020-09-18,"39,0"
ciclo 1,1,AC,QXH-5198,2020-09-19,"257,0"
ciclo 1,1,AC,QXH-5198,2020-09-20,"114,0"
ciclo 1,1,AC,QXH-5198,2020-09-21,"33,0"
ciclo 1,1,AC,QXH-5198,2020-09-22,"234,0"
ciclo 1,1,AC,QXH-5198,2020-09-23,"220,0"
ciclo 1,1,AC,QXH-5198,2020-09-24,"182,0"
ciclo 1,1,AC,QXH-5198,2020-09-25,"113,0"
ciclo 1,1,AM,QXH-5198,2020-09-02,"93,0"
ciclo 1,1,AM,QXH-5198,2020-09-03,"90,0"
ciclo 1,1,AM,QXH-5198,2020-09-04,"123,0"
ciclo 1,1,AM,QXH-5198,2020-09-05,"130,0"
ciclo 1,1,AM,QXH-5198,2020-09-16,"169,0"
ciclo 1,1,AM,QXH-5198,2020-09-18,"65,0"
ciclo 1,1,AP,QXH-5198,2020-08-16,"113,0"
ciclo 1,1,AP,QXH-5198,2020-08-17,"308,0"
ciclo 1,1,AP,QXH-5198,2020-08-18,"52,0"
ciclo 1,1,DF,QXH-5198,2020-07-16,"47,0"
ciclo 1,1,DF,RFA-5H23,2020-07-17,"33,0"
ciclo 1,1,DF,RFA-5H23,2020-07-18,"34,0"
ciclo 1,1,DF,RFA-5H23,2020-07-20,"28,0"
ciclo 1,1,DF,RFA-5H23,2020-07-21,"37,0"
ciclo 1,1,DF,RFA-5H23,2020-07-24,"3,0"
ciclo 1,1,GO,QXH-5198,2020-07-17,"98,0"
ciclo 1,1,GO,QXH-5198,2020-07-18,"44,0"
ciclo 1,1,GO,RFA-5H23,2020-07-17,"90,0"
ciclo 1,1,GO,RFA-5H23,2020-07-18,"110,0"
ciclo 1,1,GO,RFA-5H23,2020-07-19,"245,0"
ciclo 1,1,GO,RFA-5H23,2020-07-21,"41,0"
ciclo 1,1,GO,RFA-5H23,2020-07-24,"147,0"
ciclo 1,1,GO,RFA-5H23,2020-07-25,"103,0"
ciclo 1,1,GO,RFA-5H23,2020-07-26,"137,0"
ciclo 1,1,GO,RFA-5H23,2020-07-27,"54,0"
ciclo 1,1,GO,RFA-5H23,2020-07-28,"156,0"
ciclo 1,1,GO,RFA-5H23,2020-08-03,"84,0"
ciclo 1,1,GO,RFA-5H23,2020-08-05,"91,0"
ciclo 1,1,GO,RFA-5H23,2020-08-06,"163,0"
ciclo 1,1,GO,RFA-5H23,2020-08-07,"128,0"
ciclo 1,1,GO,RFA-5H23,2020-08-08,"78,0"
ciclo 1,1,GO,RFA-5H23,2020-08-09,"141,0"
ciclo 1,1,GO,RFA-5H23,2020-08-10,"173,0"
ciclo 1,1,GO,RFA-5H23,2020-08-11,"98,0"
ciclo 1,1,GO,RFA-5H23,2020-08-12,"79,0"
ciclo 1,1,GO,RFA-5H23,2020-09-27,"45,0"
ciclo 1,1,GO,RFA-5H23,2020-09-28,"113,0"
ciclo 1,1,GO,RFA-5H23,2020-09-29,"103,0"
ciclo 1,1,MS,RFA-5H23,2020-08-04,"205,0"
ciclo 1,1,MS,RFA-5H23,2020-08-13,"100,0"
ciclo 1,1,MS,RFA-5H23,2020-08-14,"99,0"
ciclo 1,1,MS,RFA-5H23,2020-08-15,"127,0"
ciclo 1,1,MS,RFA-5H23,2020-08-16,"42,0"
